,variable,sql_condition,m_probability,u_probability,1-u
0,first_name,Exact match,0.631847318265524,0.011281949073124738,0.9887180509268753
1,first_name,All other comparisons,0.368152681734476,0.9887180509268753,0.011281949073124742
2,surname,Exact match,0.8281429011118244,0.0008100648518105823,0.9991899351481894
3,surname,All other comparisons,0.17185709888817555,0.9991899351481894,0.0008100648518105658
4,dob,Exact match,0.7363204887221396,0.0023275830155850886,0.9976724169844149
5,dob,All other comparisons,0.26367951127786043,0.9976724169844149,0.0023275830155851107
6,birth_place,Exact match,0.8827266152725944,0.005471344575822188,0.9945286554241778
7,birth_place,All other comparisons,0.11727338472740552,0.9945286554241778,0.005471344575822212
