,variable,sql_condition,m_probability,u_probability,1-u
0,first_name,Exact match,0.6187154901538882,0.01322473493849632,0.9867752650615037
1,first_name,All other comparisons,0.38128450984611184,0.9867752650615037,0.013224734938496296
2,surname,Exact match,0.8253354475008295,0.0006155836161251738,0.9993844163838749
3,surname,All other comparisons,0.17466455249917043,0.9993844163838749,0.000615583616125126
4,dob,Exact match,0.7372619008322832,0.0016777116013757234,0.9983222883986242
5,dob,All other comparisons,0.2627380991677169,0.9983222883986242,0.0016777116013757531
6,birth_place,Exact match,0.8845024382758784,0.0050044373623070884,0.994995562637693
7,birth_place,All other comparisons,0.11549756172412151,0.994995562637693,0.005004437362307046
