,variable,sql_condition,m_probability,u_probability,1-u
0,first_name,Exact match,0.561458478165632,0.014880013934059466,0.9851199860659405
1,first_name,All other comparisons,0.4385415218343682,0.9851199860659405,0.014880013934059466
2,surname,Exact match,0.8139527102234015,0.000830825016282058,0.9991691749837179
3,surname,All other comparisons,0.18604728977659837,0.9991691749837179,0.0008308250162820663
4,dob,Exact match,0.6606393292599285,0.0017692715209512357,0.9982307284790488
5,dob,All other comparisons,0.3393606707400716,0.9982307284790488,0.0017692715209511878
6,birth_place,Exact match,0.8535062412135683,0.005310771268218077,0.9946892287317819
7,birth_place,All other comparisons,0.1464937587864318,0.9946892287317819,0.005310771268218106
